,county_name,precinct,Ward2,Precinct,candidate,candidate_normalized,party,mode,votes,religious_voting_place,party2
65,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 5,2,5,Emidio Soltysik,soltysik,natural law party,total,1,0,other
66,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 6,4,6,Darrell Castle,castle,us taxpayers,total,3,0,other
67,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 6,4,6,Hillary Clinton,clinton,democratic,total,1144,0,democratic
68,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 6,4,6,Gary Johnson,johnson,libertarian,total,57,0,other
69,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 6,4,6,Jill Stein,stein,green,total,30,0,other
70,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 6,4,6,Donald Trump,trump,republican,total,254,0,republican
71,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 6,4,6,Emidio Soltysik,soltysik,natural law party,total,0,0,other
72,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 3,5,3,Darrell Castle,castle,us taxpayers,total,0,1,other
73,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 3,5,3,Hillary Clinton,clinton,democratic,total,791,1,democratic
74,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 3,5,3,Gary Johnson,johnson,libertarian,total,8,1,other
75,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 3,5,3,Jill Stein,stein,green,total,20,1,other
76,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 3,5,3,Donald Trump,trump,republican,total,49,1,republican
77,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 3,5,3,Emidio Soltysik,soltysik,natural law party,total,2,0,other
78,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 11,5,11,Darrell Castle,castle,us taxpayers,total,3,0,other
